"order_line","order_id","order_date","ship_date","ship_mode","customer_id","product_id","sales","quantity","discount","profit"
6074,"CA-2015-120901","2015-12-31","2016-01-04","Standard Class","BG-11035","OFF-SU-10001225","5.888",2,"0.2","-1.3248"
2325,"CA-2015-109470","2015-12-31","2016-01-03","Second Class","KC-16255","OFF-BI-10000977","364.8",12,"0","167.808"
2137,"CA-2015-156377","2015-12-31","2016-01-05","Standard Class","TB-21625","FUR-FU-10002364","14.76",5,"0.6","-11.439"
2322,"CA-2015-109470","2015-12-31","2016-01-03","Second Class","KC-16255","OFF-BI-10004492","94.74",3,"0","44.5278"
2324,"CA-2015-109470","2015-12-31","2016-01-03","Second Class","KC-16255","OFF-BI-10003707","76.3",5,"0","38.15"
6072,"CA-2015-120901","2015-12-31","2016-01-04","Standard Class","BG-11035","OFF-ST-10000025","152.688",2,"0.2","-26.7204"
6073,"CA-2015-120901","2015-12-31","2016-01-04","Standard Class","BG-11035","OFF-FA-10001561","3.488",2,"0.2","0.5668"
1896,"CA-2015-109197","2015-12-31","2016-01-04","Standard Class","JO-15280","OFF-BI-10004632","487.984",2,"0.2","152.495"
7356,"CA-2015-139780","2015-12-31","2016-01-02","Second Class","AH-10690","OFF-BI-10004139","116.4",8,"0","52.38"
2138,"CA-2015-156377","2015-12-31","2016-01-05","Standard Class","TB-21625","OFF-BI-10002954","3.656",4,"0.8","-5.8496"
2323,"CA-2015-109470","2015-12-31","2016-01-03","Second Class","KC-16255","OFF-BI-10001072","60.64",4,"0","27.8944"
6013,"CA-2015-135580","2015-12-30","2016-01-03","Standard Class","CL-12565","TEC-PH-10004345","287.88",3,"0.2","35.985"
6012,"CA-2015-135580","2015-12-30","2016-01-03","Standard Class","CL-12565","OFF-EN-10003296","271.44",3,"0","122.148"
6010,"CA-2015-135580","2015-12-30","2016-01-03","Standard Class","CL-12565","OFF-ST-10000798","74.94",3,"0","14.2386"
6011,"CA-2015-135580","2015-12-30","2016-01-03","Standard Class","CL-12565","TEC-MA-10004002","2548.56",6,"0.2","286.713"
6009,"CA-2015-135580","2015-12-30","2016-01-03","Standard Class","CL-12565","OFF-PA-10000595","68.52",3,"0","31.5192"
9876,"CA-2015-130855","2015-12-29","2016-01-05","Standard Class","RF-19840","OFF-SU-10003936","6.36",2,"0","0.0636"
162,"CA-2015-119697","2015-12-28","2015-12-31","Second Class","EM-13960","TEC-AC-10003657","54.384",2,"0.2","1.3596"
4037,"CA-2015-148859","2015-12-28","2016-01-01","Standard Class","FH-14350","OFF-ST-10004950","24.816",2,"0.2","1.551"
1698,"CA-2015-148376","2015-12-27","2015-12-31","Standard Class","AG-10900","OFF-AP-10000240","106.96",2,"0","31.0184"
7651,"CA-2015-101889","2015-12-27","2015-12-31","Standard Class","DB-13120","OFF-EN-10003286","19.872",3,"0.2","6.7068"
1095,"CA-2015-165085","2015-12-27","2015-12-31","Standard Class","BT-11485","OFF-AP-10002518","355.96",2,"0","103.2284"
3272,"CA-2015-155145","2015-12-27","2015-12-29","Second Class","KN-16450","TEC-AC-10003709","7.92",8,"0","3.4848"
8727,"CA-2015-103870","2015-12-27","2015-12-31","Standard Class","SP-20860","TEC-AC-10002370","4.728",3,"0.2","0.7092"
1094,"CA-2015-165085","2015-12-27","2015-12-31","Standard Class","BT-11485","OFF-PA-10000605","28.9",5,"0","14.161"
8728,"CA-2015-103870","2015-12-27","2015-12-31","Standard Class","SP-20860","FUR-FU-10002030","53.352",3,"0.2","16.0056"
8729,"CA-2015-103870","2015-12-27","2015-12-31","Standard Class","SP-20860","FUR-BO-10002853","131.104",2,"0.2","8.194"
8730,"CA-2015-103870","2015-12-27","2015-12-31","Standard Class","SP-20860","OFF-ST-10002562","22.512",3,"0.2","2.2512"
38,"CA-2015-117415","2015-12-27","2015-12-31","Standard Class","SN-20710","OFF-EN-10002986","113.328",9,"0.2","35.415"
39,"CA-2015-117415","2015-12-27","2015-12-31","Standard Class","SN-20710","FUR-BO-10002545","532.3992",3,"0.32","-46.9764"
40,"CA-2015-117415","2015-12-27","2015-12-31","Standard Class","SN-20710","FUR-CH-10004218","212.058",3,"0.3","-15.147"
41,"CA-2015-117415","2015-12-27","2015-12-31","Standard Class","SN-20710","TEC-PH-10000486","371.168",4,"0.2","41.7564"
8731,"CA-2015-103870","2015-12-27","2015-12-31","Standard Class","SP-20860","TEC-AC-10004227","72.744",7,"0.2","-12.7302"
1699,"CA-2015-148376","2015-12-27","2015-12-31","Standard Class","AG-10900","OFF-LA-10002381","21.56",7,"0","10.3488"
496,"CA-2015-134782","2015-12-27","2015-12-31","Standard Class","MD-17350","OFF-EN-10001434","105.42",2,"0","51.6558"
4810,"CA-2015-151589","2015-12-27","2015-12-30","First Class","RE-19450","OFF-PA-10003228","195.64",4,"0","91.9508"
9680,"CA-2015-130113","2015-12-27","2015-12-31","Standard Class","AH-10030","OFF-ST-10000046","323.1",2,"0","61.389"
9681,"CA-2015-130113","2015-12-27","2015-12-31","Standard Class","AH-10030","TEC-PH-10003505","668.16",9,"0.2","75.168"
4811,"CA-2015-151589","2015-12-27","2015-12-30","First Class","RE-19450","TEC-PH-10004345","239.9",2,"0","71.97"
3191,"US-2015-163783","2015-12-27","2016-01-01","Standard Class","DR-12940","OFF-ST-10002957","12.672",3,"0.2","-3.168"
7650,"CA-2015-101889","2015-12-27","2015-12-31","Standard Class","DB-13120","FUR-TA-10004154","1548.99",9,"0.4","-464.697"
5294,"CA-2015-111073","2015-12-26","2015-12-30","Standard Class","MC-18100","FUR-TA-10004086","51.588",1,"0.4","-15.4764"
5690,"CA-2015-119550","2015-12-26","2015-12-31","Standard Class","RB-19705","FUR-CH-10002044","275.058",3,"0.3","-90.3762"
526,"CA-2015-158792","2015-12-26","2016-01-02","Standard Class","BD-11605","OFF-FA-10002815","22.2",5,"0","10.434"
7100,"CA-2015-124933","2015-12-26","2015-12-30","Second Class","DF-13135","OFF-PA-10003302","212.64",6,"0","99.9408"
7155,"US-2015-136749","2015-12-25","2015-12-27","Second Class","LH-16900","FUR-FU-10000747","275.88",6,"0","46.8996"
6065,"CA-2015-111780","2015-12-25","2015-12-30","Second Class","RA-19285","OFF-PA-10001667","17.94",3,"0","8.073"
2562,"CA-2015-144288","2015-12-25","2015-12-31","Standard Class","MB-17305","OFF-LA-10003190","9.216",4,"0.2","3.3408"
2563,"CA-2015-144288","2015-12-25","2015-12-31","Standard Class","MB-17305","OFF-PA-10002787","10.368",2,"0.2","3.6288"
7854,"CA-2015-144890","2015-12-25","2015-12-29","Standard Class","SM-20320","OFF-PA-10001526","9.96",2,"0","4.8804"
4112,"CA-2015-153717","2015-12-25","2016-01-01","Standard Class","DL-13495","OFF-PA-10002160","17.34",3,"0","8.4966"
4111,"CA-2015-153717","2015-12-25","2016-01-01","Standard Class","DL-13495","FUR-BO-10004360","160.98",1,"0","20.9274"
7156,"US-2015-136749","2015-12-25","2015-12-27","Second Class","LH-16900","OFF-BI-10004492","157.9",5,"0","74.213"
4113,"CA-2015-153717","2015-12-25","2016-01-01","Standard Class","DL-13495","OFF-AR-10002375","3.28",1,"0","0.9512"
4110,"CA-2015-153717","2015-12-25","2016-01-01","Standard Class","DL-13495","TEC-PH-10002923","73.98",2,"0","19.9746"
7337,"CA-2015-113152","2015-12-25","2015-12-30","Standard Class","JK-15625","FUR-BO-10002613","449.568",2,"0.2","56.196"
6063,"CA-2015-111780","2015-12-25","2015-12-30","Second Class","RA-19285","TEC-CO-10004202","1199.96",5,"0.2","224.9925"
7336,"CA-2015-113152","2015-12-25","2015-12-30","Standard Class","JK-15625","TEC-AC-10002049","843.9",2,"0","371.316"
5974,"CA-2015-143980","2015-12-25","2015-12-29","Standard Class","JK-15640","OFF-AP-10003779","414.96",2,"0","124.488"
6064,"CA-2015-111780","2015-12-25","2015-12-30","Second Class","RA-19285","OFF-PA-10001307","12.6",3,"0","6.174"
2330,"US-2015-147739","2015-12-25","2015-12-29","Standard Class","JD-16150","FUR-FU-10001468","547.136",4,"0.2","-68.392"
799,"CA-2015-124653","2015-12-24","2015-12-26","First Class","DB-13120","OFF-LA-10002271","21.56",7,"0","10.3488"
2082,"CA-2015-120103","2015-12-24","2015-12-29","Standard Class","MS-17365","FUR-FU-10002885","7.712",2,"0.2","1.7352"
2080,"CA-2015-120103","2015-12-24","2015-12-29","Standard Class","MS-17365","OFF-PA-10001295","106.232",7,"0.2","37.1812"
1371,"US-2015-103471","2015-12-24","2015-12-28","Standard Class","JR-15670","OFF-AR-10003405","14.04",3,"0.2","1.5795"
1370,"US-2015-103471","2015-12-24","2015-12-28","Standard Class","JR-15670","FUR-BO-10002613","590.058",7,"0.7","-786.744"
2660,"CA-2015-135538","2015-12-24","2015-12-28","Standard Class","HR-14830","FUR-CH-10004287","883.84",4,"0.2","99.432"
8990,"US-2015-128587","2015-12-24","2015-12-30","Standard Class","HM-14860","FUR-FU-10003026","9.68",2,"0","3.7752"
8991,"US-2015-128587","2015-12-24","2015-12-30","Standard Class","HM-14860","TEC-CO-10003763","4899.93",7,"0","2302.9671"
2081,"CA-2015-120103","2015-12-24","2015-12-29","Standard Class","MS-17365","TEC-PH-10002170","111.984",2,"0.2","11.1984"
2959,"CA-2015-158456","2015-12-24","2015-12-29","Standard Class","KT-16465","OFF-BI-10001097","19.936",4,"0.2","7.2268"
2960,"CA-2015-158456","2015-12-24","2015-12-29","Standard Class","KT-16465","OFF-FA-10004854","45.92",4,"0","21.5824"
797,"CA-2015-124653","2015-12-24","2015-12-26","First Class","DB-13120","OFF-PA-10000176","132.79",7,"0","63.7392"
798,"CA-2015-124653","2015-12-24","2015-12-26","First Class","DB-13120","OFF-PA-10002365","12.96",2,"0","6.2208"
220,"CA-2015-169397","2015-12-24","2015-12-27","First Class","JB-15925","OFF-FA-10000585","5.584",2,"0.2","1.8148"
221,"CA-2015-169397","2015-12-24","2015-12-27","First Class","JB-15925","OFF-PA-10004000","22.704",6,"0.2","8.2302"
222,"CA-2015-169397","2015-12-24","2015-12-27","First Class","JB-15925","OFF-BI-10002852","19.776",4,"0.7","-13.8432"
223,"CA-2015-169397","2015-12-24","2015-12-27","First Class","JB-15925","FUR-FU-10000087","72.704",4,"0.2","19.0848"
224,"CA-2015-169397","2015-12-24","2015-12-27","First Class","JB-15925","TEC-MA-10001148","479.988",4,"0.7","-383.9904"
225,"CA-2015-169397","2015-12-24","2015-12-27","First Class","JB-15925","OFF-AR-10001958","27.168",2,"0.2","2.7168"
2320,"CA-2015-117828","2015-12-23","2015-12-26","First Class","BD-11500","OFF-AP-10001563","194.32",4,"0","56.3528"
4013,"CA-2015-153612","2015-12-22","2015-12-27","Standard Class","BT-11305","OFF-AR-10000203","17.12",4,"0","4.9648"
8542,"CA-2015-157287","2015-12-22","2015-12-23","First Class","HR-14830","OFF-ST-10001172","33.568",2,"0.2","1.6784"
8543,"CA-2015-157287","2015-12-22","2015-12-23","First Class","HR-14830","FUR-CH-10001270","422.625",7,"0.3","0"
4334,"CA-2015-112375","2015-12-21","2015-12-27","Standard Class","RD-19720","TEC-AC-10003237","50.88",6,"0.2","14.628"
1015,"US-2015-126214","2015-12-21","2015-12-24","Second Class","JS-15880","TEC-AC-10003198","99.6",1,"0","36.852"
7755,"CA-2015-161795","2015-12-21","2015-12-23","Second Class","AH-10075","OFF-AR-10001919","3.008",2,"0.2","0.3384"
1014,"US-2015-126214","2015-12-21","2015-12-24","Second Class","JS-15880","FUR-TA-10003748","1618.37",13,"0","356.0414"
8286,"CA-2015-154284","2015-12-21","2015-12-26","Second Class","SZ-20035","FUR-FU-10003039","51.756",3,"0.6","-33.6414"
4080,"CA-2015-165414","2015-12-21","2015-12-24","First Class","LS-17245","TEC-PH-10002293","47.976",3,"0.2","4.7976"
8285,"CA-2015-154284","2015-12-21","2015-12-26","Second Class","SZ-20035","TEC-AC-10003198","637.44",8,"0.2","135.456"
4335,"CA-2015-112375","2015-12-21","2015-12-27","Standard Class","RD-19720","OFF-EN-10003798","27.312",2,"0.2","9.2178"
