"order_line","order_id","order_date","ship_date","ship_mode","customer_id","product_id","sales","quantity","discount","profit"
1153,"CA-2017-160395","2016-12-31","2017-01-06","Standard Class","KL-16555","OFF-AR-10003759","3.64",2,"0","1.638"
4613,"US-2017-165953","2016-12-31","2017-01-06","Standard Class","EP-13915","OFF-AR-10000588","47.616",3,"0.2","3.5712"
4614,"US-2017-165953","2016-12-31","2017-01-06","Standard Class","EP-13915","OFF-PA-10002250","23.48",5,"0.2","8.218"
1154,"CA-2017-160395","2016-12-31","2017-01-06","Standard Class","KL-16555","OFF-BI-10003984","159.768",7,"0.2","53.9217"
2822,"CA-2017-100202","2016-12-31","2017-01-05","Standard Class","BD-11620","TEC-PH-10002563","302.376",3,"0.2","22.6782"
5739,"CA-2017-156139","2016-12-31","2017-01-06","Standard Class","BP-11155","OFF-BI-10004233","38.376",3,"0.2","13.4316"
6342,"US-2017-105830","2016-12-31","2017-01-02","First Class","DB-13660","OFF-ST-10002554","156.512",4,"0.2","-35.2152"
5761,"US-2016-111528","2016-12-30","2016-12-30","Same Day","JP-16135","OFF-BI-10002194","6.384",1,"0.2","2.1546"
5760,"US-2016-111528","2016-12-30","2016-12-30","Same Day","JP-16135","OFF-ST-10001526","481.32",4,"0","125.1432"
7562,"CA-2016-105746","2016-12-30","2017-01-01","First Class","BD-11605","FUR-CH-10000454","170.786",1,"0.3","0"
8667,"CA-2016-163951","2016-12-30","2017-01-02","First Class","CJ-11875","OFF-AR-10004269","16.52",5,"0.2","1.652"
4139,"CA-2016-117226","2016-12-30","2017-01-01","First Class","KD-16495","OFF-BI-10004654","6.924",6,"0.8","-10.386"
9283,"CA-2016-160486","2016-12-30","2017-01-04","Standard Class","EH-14185","OFF-PA-10002421","72.224",4,"0.2","25.2784"
4762,"CA-2016-117660","2016-12-30","2017-01-04","Standard Class","BM-11785","OFF-LA-10003720","5.904",2,"0.2","1.9926"
4763,"CA-2016-117660","2016-12-30","2017-01-04","Standard Class","BM-11785","OFF-SU-10001664","13.712",2,"0.2","1.0284"
5364,"CA-2016-122017","2016-12-29","2017-01-02","Standard Class","CD-11920","OFF-AP-10001293","81.96",2,"0","22.9488"
4156,"CA-2016-139689","2016-12-29","2017-01-03","Standard Class","MP-17965","OFF-BI-10000145","2.808",3,"0.7","-1.9656"
5423,"US-2016-163258","2016-12-29","2017-01-02","Standard Class","PF-19225","OFF-BI-10000138","11.232",3,"0.2","3.9312"
2643,"CA-2016-124051","2016-12-29","2016-12-30","First Class","KA-16525","OFF-PA-10001289","186.048",6,"0.2","67.4424"
8724,"US-2016-135209","2016-12-29","2016-12-31","Second Class","MH-17290","OFF-PA-10002986","37.408",7,"0.2","13.0928"
8725,"US-2016-135209","2016-12-29","2016-12-31","Second Class","MH-17290","OFF-PA-10000143","25.344",6,"0.2","8.8704"
8763,"CA-2016-112578","2016-12-29","2017-01-02","Standard Class","FO-14305","OFF-ST-10003722","14.03",1,"0","4.0687"
7063,"CA-2016-157742","2016-12-29","2016-12-31","Second Class","KL-16645","OFF-EN-10002592","27.792",3,"0.2","10.422"
5363,"CA-2016-122017","2016-12-29","2017-01-02","Standard Class","CD-11920","FUR-FU-10000672","70.56",6,"0","23.9904"
2415,"CA-2016-156300","2016-12-29","2017-01-02","Standard Class","TB-21595","FUR-CH-10001714","754.45",5,"0","60.356"
8764,"CA-2016-112578","2016-12-29","2017-01-02","Standard Class","FO-14305","OFF-SU-10002557","27.96",2,"0","7.2696"
4155,"CA-2016-139689","2016-12-29","2017-01-03","Standard Class","MP-17965","OFF-BI-10004781","38.088",4,"0.7","-27.9312"
7182,"CA-2016-138667","2016-12-27","2016-12-30","Second Class","MW-18220","TEC-AC-10003063","40",2,"0.2","0.5"
2845,"US-2016-162852","2016-12-27","2016-12-31","Standard Class","BG-11695","FUR-CH-10004853","845.488",8,"0.3","-12.0784"
8149,"US-2016-131058","2016-12-27","2016-12-31","Standard Class","EM-14140","OFF-LA-10001613","20.16",7,"0","9.8784"
8580,"CA-2016-111605","2016-12-27","2017-01-02","Standard Class","JW-15955","OFF-LA-10002368","2.61",1,"0","1.2006"
4440,"CA-2016-162726","2016-12-27","2017-01-02","Standard Class","MT-17815","OFF-PA-10004041","23.68",4,"0.2","7.4"
4439,"CA-2016-162726","2016-12-27","2017-01-02","Standard Class","MT-17815","OFF-PA-10001972","10.368",2,"0.2","3.6288"
